Ordem	Plot	Epoca 	plot_name	Acession_name	bloco	plant_number	Qinz1	Qinz2	Qinz3	Qinz4	Qinz5	Qinz6	Qinz7	Qinz8	Qinz9	Qinz10	Qinz11	Qinz12	Qinz13	Qinz14	Qinz15	Qinz16	Qinz17	Qinz18	Qinz19	NM	NP
5	1	1	2011-34-41.1.1.5	2011-34-41	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	2011-34-41.1.1.1	2011-34-41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	2011-34-41.1.1.3	2011-34-41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0.263157895	18
2	1	1	2011-34-41.1.1.2	2011-34-41	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	2011-34-41.1.1.4	2011-34-41	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	1	2011-34-45.1.1.1	2011-34-45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	1	2011-34-45.1.1.3	2011-34-45	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2	1	2011-34-45.1.1.5	2011-34-45	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.105263158	20
7	2	1	2011-34-45.1.1.2	2011-34-45	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	1	2011-34-45.1.1.4	2011-34-45	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	1	2011-34-69.1.1.3	2011-34-69	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0.157894737	10
11	3	1	2011-34-69.1.1.1	2011-34-69	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.157894737	12
12	3	1	2011-34-69.1.1.2	2011-34-69	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	3	1	2011-34-69.1.1.4	2011-34-69	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	1	2011-34-69.1.1.5	2011-34-69	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	4	1	BGM-0062.1.1.1	BGM-0062	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.105263158	4
17	4	1	BGM-0062.1.1.2	BGM-0062	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0.105263158	24
18	4	1	BGM-0062.1.1.3	BGM-0062	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0.210526316	28
19	4	1	BGM-0062.1.1.4	BGM-0062	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.052631579	10
20	4	1	BGM-0062.1.1.5	BGM-0062	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	5	1	BGM-0707.1.1.1	BGM-0707	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0.368421053	108
22	5	1	BGM-0707.1.1.2	BGM-0707	1	2	0	0	0	0	1	0	0	0	2	0	0	0	3	0	3	0	3	0	0	0.631578947	164
23	5	1	BGM-0707.1.1.3	BGM-0707	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0.263157895	88
24	5	1	BGM-0707.1.1.4	BGM-0707	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0.263157895	50
25	5	1	BGM-0707.1.1.5	BGM-0707	1	5	0	0	0	0	0	1	0	0	2	0	3	0	0	0	3	3	0	0	0	0.631578947	180
29	6	1	BGM-0590.1.1.4	BGM-0590	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	6	1	BGM-0590.1.1.1	BGM-0590	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.052631579	8
27	6	1	BGM-0590.1.1.2	BGM-0590	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	6	1	BGM-0590.1.1.3	BGM-0590	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	6	1	BGM-0590.1.1.5	BGM-0590	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	7	1	BGM-1760.1.1.1	BGM-1760	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0.210526316	32
32	7	1	BGM-1760.1.1.2	BGM-1760	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.052631579	14
33	7	1	BGM-1760.1.1.3	BGM-1760	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0.105263158	24
34	7	1	BGM-1760.1.1.4	BGM-1760	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0.210526316	22
