Ordem	Plot	Epoca 	plot_name	Acession_name	bloco	plant_number	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	NM	NP
1	1	1	2011-34-41.1.1.1	2011-34-41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0.23	28
2	1	1	2011-34-41.1.1.2	2011-34-41	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
3	1	1	2011-34-41.1.1.3	2011-34-41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	3	2	0.45	74
4	1	1	2011-34-41.1.1.4	2011-34-41	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.05	4
5	1	1	2011-34-41.1.1.5	2011-34-41	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0.27	18
6	2	1	2011-34-45.1.1.1	2011-34-45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.05	2
7	2	1	2011-34-45.1.1.2	2011-34-45	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
8	2	1	2011-34-45.1.1.3	2011-34-45	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
9	2	1	2011-34-45.1.1.4	2011-34-45	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
10	2	1	2011-34-45.1.1.5	2011-34-45	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	3	0.36	66
11	3	1	2011-34-69.1.1.1	2011-34-69	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0.27	60
12	3	1	2011-34-69.1.1.2	2011-34-69	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
13	3	1	2011-34-69.1.1.3	2011-34-69	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	3	0.41	52
14	3	1	2011-34-69.1.1.4	2011-34-69	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
15	3	1	2011-34-69.1.1.5	2011-34-69	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
16	4	1	BGM-0062.1.1.1	BGM-0062	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0.18	36
17	4	1	BGM-0062.1.1.2	BGM-0062	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.09	40
18	4	1	BGM-0062.1.1.3	BGM-0062	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0.32	84
19	4	1	BGM-0062.1.1.4	BGM-0062	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.05	18
20	4	1	BGM-0062.1.1.5	BGM-0062	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
21	5	1	BGM-0707.1.1.1	BGM-0707	1	1	0	0	0	0	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0.32	164
22	5	1	BGM-0707.1.1.2	BGM-0707	1	2	0	0	0	1	0	0	0	2	0	0	0	3	0	3	0	3	0	0	0	0	0	0	0.55	260
23	5	1	BGM-0707.1.1.3	BGM-0707	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0.23	128
24	5	1	BGM-0707.1.1.4	BGM-0707	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0.23	90
25	5	1	BGM-0707.1.1.5	BGM-0707	1	5	0	0	0	0	1	0	0	2	0	3	0	0	0	3	3	0	0	0	0	0	0	0	0.55	276
26	6	1	BGM-0590.1.1.1	BGM-0590	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0.18	28
27	6	1	BGM-0590.1.1.2	BGM-0590	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
28	6	1	BGM-0590.1.1.3	BGM-0590	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.09	12
29	6	1	BGM-0590.1.1.4	BGM-0590	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.14	8
30	6	1	BGM-0590.1.1.5	BGM-0590	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
31	7	1	BGM-1760.1.1.1	BGM-1760	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	2	0.41	92
32	7	1	BGM-1760.1.1.2	BGM-1760	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.05	22
33	7	1	BGM-1760.1.1.3	BGM-1760	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.09	40
34	7	1	BGM-1760.1.1.4	BGM-1760	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0.18	54
35	7	1	BGM-1760.1.1.5	BGM-1760	1	5	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	0	0	0	0	0.41	138
36	8	1	BGM-0598.1.1.1	BGM-0598	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0.14	30
37	8	1	BGM-0598.1.1.2	BGM-0598	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
38	8	1	BGM-0598.1.1.3	BGM-0598	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
39	8	1	BGM-0598.1.1.4	BGM-0598	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
40	8	1	BGM-0598.1.1.5	BGM-0598	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
41	9	1	BGM-0630.1.1.1	BGM-0630	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.14	6
42	9	1	BGM-0630.1.1.2	BGM-0630	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
43	9	1	BGM-0630.1.1.3	BGM-0630	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
44	9	1	BGM-0630.1.1.4	BGM-0630	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0.27	96
45	9	1	BGM-0630.1.1.5	BGM-0630	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
46	10	1	BGM-0593.1.1.1	BGM-0593	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
47	10	1	BGM-0593.1.1.2	BGM-0593	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
48	10	1	BGM-0593.1.1.3	BGM-0593	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
49	10	1	BGM-0593.1.1.4	BGM-0593	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
50	10	1	BGM-0593.1.1.5	BGM-0593	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
51	11	1	BRS-Caipira.1.1.1	BRS-Caipira	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
52	11	1	BRS-Caipira.1.1.2	BRS-Caipira	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
53	11	1	BRS-Caipira.1.1.3	BRS-Caipira	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
54	11	1	BRS-Caipira.1.1.4	BRS-Caipira	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.09	24
55	11	1	BRS-Caipira.1.1.5	BRS-Caipira	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
56	12	1	BGM-0945.1.1.1	BGM-0945	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
57	12	1	BGM-0945.1.1.2	BGM-0945	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0.14	54
58	12	1	BGM-0945.1.1.3	BGM-0945	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.05	22
59	12	1	BGM-0945.1.1.4	BGM-0945	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0
60	12	1	BGM-0945.1.1.5	BGM-0945	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	40
61	13	1	BGM-1128.1.1.1	BGM-1128	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.23	82
62	13	1	BGM-1128.1.1.2	BGM-1128	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0.23	74
