SeqGeral	plot_name	Epoca	Acession_name	bloco	plant_number	Obs	Ramificacao	DataR0	Dia	Mes	Mesfev	Ano	NumRam	CompR	Altura total	QuantR	EscalaLEO	NumFrutosR0	NumSemR0	DAPR	DAPR1ano	DAPR1ano_Ext	NumEvRam	NumTFruto	NumTSem
1	2011-34-41.1.1.1	1	2011-34-41	1	1	Ok	Ram0	06/09/21	9	6	jun	2021	2	NA	NA	NA	0	0	NA	264	264	264	3	3	0
2	2011-34-41.1.1.2	1	2011-34-41	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
3	2011-34-41.1.1.3	1	2011-34-41	1	3	Ok	Ram0	4/30/2021	30	4	abr	2021	3	150	NA	NA	0	0	NA	224	224	224	5	7	0
4	2011-34-41.1.1.4	1	2011-34-41	1	4	Ok	Ram0	7/20/2021	20	7	jul	2021	1	70	185	NA	0	0	NA	305	305	305	2	0	0
5	2011-34-41.1.1.5	1	2011-34-41	1	5	Ok	Ram0	7/20/2021	20	7	jul	2021	2	NA	NA	NA	0	0	NA	305	305	305	3	0	0
6	2011-34-45.1.1.1	1	2011-34-45	1	1	Ok	Ram0	6/30/2021	30	6	jun	2021	0	NA	NA	NA	0	0	NA	285	285	285	2	0	0
7	2011-34-45.1.1.2	1	2011-34-45	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
8	2011-34-45.1.1.3	1	2011-34-45	1	3	Ok	Ram0	06/09/21	9	6	jun	2021	1	NA	NA	NA	0	0	NA	264	264	264	2	0	0
9	2011-34-45.1.1.4	1	2011-34-45	1	4	Ok	Ram0	06/09/21	9	6	jun	2021	0	NA	NA	NA	0	0	NA	264	264	264	1	0	0
10	2011-34-45.1.1.5	1	2011-34-45	1	5	Ok	Ram0	4/16/2021	16	4	abr	2021	2	120	NA	NA	0	0	NA	210	210	210	4	0	0
11	2011-34-69.1.1.1	1	2011-34-69	1	1	Ok	Ram0	4/16/2021	16	4	abr	2021	3	177	NA	NA	0	0	NA	210	210	210	4	2	0
12	2011-34-69.1.1.2	1	2011-34-69	1	2	Ok	Ram0	5/27/2021	27	5	mai	2021	0	220	220	NA	0	0	NA	251	251	251	1	0	0
13	2011-34-69.1.1.3	1	2011-34-69	1	3	Ok	Ram0	4/30/2021	30	4	abr	2021	3	176	NA	NA	0	0	NA	224	224	224	5	0	0
14	2011-34-69.1.1.4	1	2011-34-69	1	4	Ok	Ram0	5/27/2021	27	5	mai	2021	0	250	250	NA	0	0	NA	251	251	251	1	0	0
15	2011-34-69.1.1.5	1	2011-34-69	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
16	BGM-0062.1.1.1	1	BGM-0062	1	1	Ok	Ram0	5/27/2021	27	5	mai	2021	2	145	NA	NA	0	0	NA	251	251	251	3	2	0
17	BGM-0062.1.1.2	1	BGM-0062	1	2	Ok	Ram0	4/16/2021	16	4	abr	2021	1	115	181	NA	1	NA	NA	210	210	210	2	0	0
18	BGM-0062.1.1.3	1	BGM-0062	1	3	Ok	Ram0	4/16/2021	16	4	abr	2021	3	130	NA	NA	0	0	NA	210	210	210	4	4	0
19	BGM-0062.1.1.4	1	BGM-0062	1	4	Ok	Ram0	5/27/2021	27	5	mai	2021	0	179	179	NA	1	1	NA	251	251	251	1	1	0
20	BGM-0062.1.1.5	1	BGM-0062	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
21	BGM-0707.1.1.1	1	BGM-0707	1	1	Ok	Ram0	01/07/21	7	1	jan	2021	3	60	309	NA	1	NA	NA	111	111	111	4	0	0
22	BGM-0707.1.1.2	1	BGM-0707	1	2	Ok	Ram0	12/22/2020	22	12	dez	2020	4	65	NA	NA	1	NA	NA	95	95	95	5	0	0
23	BGM-0707.1.1.3	1	BGM-0707	1	3	Ok	Ram0	12/22/2020	22	12	dez	2020	3	55	229	NA	1	0	NA	95	95	95	4	0	0
24	BGM-0707.1.1.4	1	BGM-0707	1	4	Ok	Ram0	02/09/21	9	2	fev	2021	4	45	NA	NA	0	0	NA	144	144	144	5	2	0
25	BGM-0707.1.1.5	1	BGM-0707	1	5	Ok	Ram0	01/07/21	7	1	jan	2021	4	80	NA	NA	1	NA	NA	111	111	111	5	0	0
26	BGM-0590.1.1.1	1	BGM-0590	1	1	Ok	Ram0	11/27/2020	27	11	nov	2020	2	60	NA	NA	0	0	NA	70	70	70	3	0	0
27	BGM-0590.1.1.2	1	BGM-0590	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
28	BGM-0590.1.1.3	1	BGM-0590	1	3	Ok	Ram0	4/30/2021	30	4	abr	2021	2	200	NA	NA	0	0	NA	224	224	224	3	0	0
29	BGM-0590.1.1.4	1	BGM-0590	1	4	Ok	Ram0	09/09/21	9	9	set	2021	0	220	220	NA	1	NA	NA	356	356	356	2	0	0
30	BGM-0590.1.1.5	1	BGM-0590	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
31	BGM-1760.1.1.1	1	BGM-1760	1	1	Ok	Ram0	3/18/2021	18	3	mar	2021	4	130	NA	NA	0	0	NA	181	181	181	6	1	0
32	BGM-1760.1.1.2	1	BGM-1760	1	2	Ok	Ram0	04/06/21	6	4	abr	2021	1	100	215	NA	0	0	NA	200	200	200	2	0	0
33	BGM-1760.1.1.3	1	BGM-1760	1	3	Ok	Ram0	4/16/2021	16	4	abr	2021	1	125	184	NA	1	NA	NA	210	210	210	2	0	0
34	BGM-1760.1.1.4	1	BGM-1760	1	4	Ok	Ram0	5/27/2021	27	5	mai	2021	2	165	NA	NA	1	NA	NA	251	251	251	3	0	0
35	BGM-1760.1.1.5	1	BGM-1760	1	5	Ok	Ram0	3/18/2021	18	3	mar	2021	4	130	NA	NA	0	0	NA	181	181	181	5	0	0
36	BGM-0598.1.1.1	1	BGM-0598	1	1	Ok	Ram0	11/27/2020	27	11	nov	2020	3	45	NA	NA	0	0	NA	70	70	70	5	1	0
37	BGM-0598.1.1.2	1	BGM-0598	1	2	Ok	Ram0	4/16/2021	16	4	abr	2021	1	135	213	NA	0	0	NA	210	210	210	2	0	0
38	BGM-0598.1.1.3	1	BGM-0598	1	3	Ok	Ram0	05/03/21	3	5	mai	2021	0	85	86	NA	0	0	NA	227	227	227	1	0	0
39	BGM-0598.1.1.4	1	BGM-0598	1	4	Ok	Ram0	4/16/2021	16	4	abr	2021	0	135	135	NA	0	0	NA	210	210	210	1	0	0
40	BGM-0598.1.1.5	1	BGM-0598	1	5	Ok	Ram0	4/16/2021	16	4	abr	2021	1	145	214	NA	0	0	NA	210	210	210	2	0	0
41	BGM-0630.1.1.1	1	BGM-0630	1	1	Ok	Ram0	07/09/21	9	7	jul	2021	0	NA	NA	NA	0	0	NA	294	294	294	2	0	0
42	BGM-0630.1.1.2	1	BGM-0630	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
43	BGM-0630.1.1.3	1	BGM-0630	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
44	BGM-0630.1.1.4	1	BGM-0630	1	4	Ok	Ram0	04/06/21	6	4	abr	2021	2	185	NA	NA	0	0	NA	200	200	200	3	0	0
45	BGM-0630.1.1.5	1	BGM-0630	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
46	BGM-0593.1.1.1	1	BGM-0593	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
47	BGM-0593.1.1.2	1	BGM-0593	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
48	BGM-0593.1.1.3	1	BGM-0593	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
49	BGM-0593.1.1.4	1	BGM-0593	1	4	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	0	NA	NA	376	376	376	1	0	0
50	BGM-0593.1.1.5	1	BGM-0593	1	5	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	0	NA	NA	376	376	376	1	0	0
51	BRS-Caipira.1.1.1	1	BRS-Caipira	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
52	BRS-Caipira.1.1.2	1	BRS-Caipira	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
53	BRS-Caipira.1.1.3	1	BRS-Caipira	1	3	Ok	Ram0	5/27/2021	27	5	mai	2021	1	200	NA	NA	0	0	NA	251	251	251	2	0	0
54	BRS-Caipira.1.1.4	1	BRS-Caipira	1	4	Ok	Ram0	04/06/21	6	4	abr	2021	2	145	NA	NA	0	0	NA	200	200	200	4	0	0
55	BRS-Caipira.1.1.5	1	BRS-Caipira	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
56	BGM-0945.1.1.1	1	BGM-0945	1	1	Remover	Ram0	1/23/2021	23	1	jan	2021	4	110	304	NA	0	0	NA	127	127	127	5	0	0
57	BGM-0945.1.1.2	1	BGM-0945	1	2	Remover	Ram0	1/23/2021	23	1	jan	2021	4	40	94	NA	0	0	NA	127	127	127	5	0	0
58	BGM-0945.1.1.3	1	BGM-0945	1	3	Remover	Ram0	12/22/2020	22	12	dez	2020	2	55	161	NA	0	0	NA	95	95	95	3	0	0
59	BGM-0945.1.1.4	1	BGM-0945	1	4	Remover	Ram0	3/18/2021	18	3	mar	2021	3	170	275	NA	0	0	NA	181	181	181	4	0	0
60	BGM-0945.1.1.5	1	BGM-0945	1	5	Remover	Ram0	11/27/2020	27	11	nov	2020	2	65	160	NA	1	NA	NA	70	70	70	3	0	0
61	BGM-1128.1.1.1	1	BGM-1128	1	1	Ok	Ram0	12/22/2020	22	12	dez	2020	4	45	NA	NA	1	NA	NA	95	95	95	5	0	0
62	BGM-1128.1.1.2	1	BGM-1128	1	2	Ok	Ram0	01/07/21	7	1	jan	2021	5	35	NA	NA	0	0	NA	111	111	111	6	0	0
63	BGM-1128.1.1.3	1	BGM-1128	1	3	Ok	Ram0	11/27/2020	27	11	nov	2020	5	30	NA	NA	0	0	NA	70	70	70	6	1	0
64	BGM-1128.1.1.4	1	BGM-1128	1	4	Ok	Ram0	2/19/2021	19	2	fev	2021	2	95	NA	NA	1	NA	NA	154	154	154	3	0	0
65	BGM-1128.1.1.5	1	BGM-1128	1	5	Ok	Ram0	11/27/2020	27	11	nov	2020	3	25	NA	NA	1	NA	NA	70	70	70	4	2	2
66	BRS-PotiBranca.1.1.1	1	BRS-PotiBranca	1	1	Remover	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
67	BRS-PotiBranca.1.1.2	1	BRS-PotiBranca	1	2	Remover	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
68	BRS-PotiBranca.1.1.3	1	BRS-PotiBranca	1	3	Remover	Ram0	09/09/21	9	9	set	2021	0	NA	NA	NA	1	NA	NA	356	356	356	1	0	0
69	BRS-PotiBranca.1.1.4	1	BRS-PotiBranca	1	4	Remover	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
70	BRS-PotiBranca.1.1.5	1	BRS-PotiBranca	1	5	Remover	Ram0	10/18/2021	18	10	out	2021	NA	NA	NA	NA	1	NA	NA	395	NA	395	0	0	0
71	Salangor.1.1.1	1	Salangor	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
72	Salangor.1.1.2	1	Salangor	1	2	Ok	Ram0	10/18/2021	18	10	out	2021	NA	NA	NA	NA	1	NA	NA	395	NA	395	0	0	0
73	Salangor.1.1.3	1	Salangor	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
74	Salangor.1.1.4	1	Salangor	1	4	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
75	Salangor.1.1.5	1	Salangor	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
76	BRS-Mulatinha.1.1.1	1	BRS-Mulatinha	1	1	Ok	Ram0	7/20/2021	20	7	jul	2021	1	210	235	NA	0	0	NA	305	305	305	3	0	0
77	BRS-Mulatinha.1.1.2	1	BRS-Mulatinha	1	2	Ok	Ram0	09/09/21	9	9	set	2021	0	NA	NA	NA	1	4	NA	356	356	356	2	4	0
78	BRS-Mulatinha.1.1.3	1	BRS-Mulatinha	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
79	BRS-Mulatinha.1.1.4	1	BRS-Mulatinha	1	4	Ok	Ram0	8/17/2021	17	8	ago	2021	0	NA	NA	NA	0	0	NA	333	333	333	1	0	0
80	BRS-Mulatinha.1.1.5	1	BRS-Mulatinha	1	5	Ok	Ram0	08/05/21	5	8	ago	2021	0	NA	NA	NA	0	0	NA	321	321	321	1	0	0
