Dataplantio	Epoca	ano	mes	dia	Ndia	Quinzena	T.max	t.min	Prec.	Tmed	Tbase	ADD	ADDTot	Prec.Ac	Estacao
18/09/2020	1	2020	set	18	1	Q1	28.5	17	0	21.6	13	8.6	8.6	0	Primavera
18/09/2020	1	2020	set	19	2	Q1	29.3	17.9	0	22.64	13	9.64	18.24	0	Primavera
18/09/2020	1	2020	set	20	3	Q1	29	17.6	0	22.56	13	9.56	27.8	0	Primavera
18/09/2020	1	2020	set	21	4	Q1	29	20.8	0	23.86	13	10.86	38.66	0	Primavera
18/09/2020	1	2020	set	22	5	Q1	27.6	24.5	14	23.56	13	10.56	49.22	14	Primavera
18/09/2020	1	2020	set	23	6	Q1	29	20.5	4.1	23.82	13	10.82	60.04	18.1	Primavera
18/09/2020	1	2020	set	24	7	Q1	27.8	19.5	0	22.86	13	9.86	69.9	18.1	Primavera
18/09/2020	1	2020	set	25	8	Q1	27	19.8	3.4	22.12	13	9.12	79.02	21.5	Primavera
18/09/2020	1	2020	set	26	9	Q1	28.4	19.7	5.2	22.94	13	9.94	88.96	26.7	Primavera
18/09/2020	1	2020	set	27	10	Q1	29	19.4	0	22.44	13	9.44	98.4	26.7	Primavera
18/09/2020	1	2020	set	28	11	Q1	30.3	18.8	0	23.66	13	10.66	109.06	26.7	Primavera
18/09/2020	1	2020	set	29	12	Q1	30.4	21.6	0	24.22	13	11.22	120.28	26.7	Primavera
18/09/2020	1	2020	set	30	13	Q1	29.3	21	0	23.5	13	10.5	130.78	26.7	Primavera
18/09/2020	1	2020	out	1	14	Q2	28	20.8	0.5	23.32	13	10.32	141.1	27.2	Primavera
18/09/2020	1	2020	out	2	15	Q2	29.4	20.9	1.7	24.06	13	11.06	152.16	28.9	Primavera
18/09/2020	1	2020	out	3	16	Q2	29.4	18.4	0	23.48	13	10.48	162.64	28.9	Primavera
18/09/2020	1	2020	out	4	17	Q2	30.4	18.7	0	23.58	13	10.58	173.22	28.9	Primavera
18/09/2020	1	2020	out	5	18	Q2	29.2	19.8	0	23.28	13	10.28	183.5	28.9	Primavera
18/09/2020	1	2020	out	6	19	Q2	29.8	20.2	0	23.96	13	10.96	194.46	28.9	Primavera
18/09/2020	1	2020	out	7	20	Q2	31	19.2	0	23.88	13	10.88	205.34	28.9	Primavera
18/09/2020	1	2020	out	8	21	Q2	32	20.5	0	23.92	13	10.92	216.26	28.9	Primavera
18/09/2020	1	2020	out	9	22	Q2	32.5	22.2	0	25.18	13	12.18	228.44	28.9	Primavera
18/09/2020	1	2020	out	10	23	Q2	36.8	22.8	0	26.36	13	13.36	241.8	28.9	Primavera
18/09/2020	1	2020	out	11	24	Q2	32	23.7	0	25.94	13	12.94	254.74	28.9	Primavera
18/09/2020	1	2020	out	12	25	Q2	31.6	22.6	0	24.88	13	11.88	266.62	28.9	Primavera
18/09/2020	1	2020	out	13	26	Q2	31.6	21.4	0	24.64	13	11.64	278.26	28.9	Primavera
18/09/2020	1	2020	out	14	27	Q2	31	19.8	0	23.84	13	10.84	289.1	28.9	Primavera
18/09/2020	1	2020	out	15	28	Q2	31.6	18.8	0	24.64	13	11.64	300.74	28.9	Primavera
18/09/2020	1	2020	out	16	29	Q3	31	19.8	0	23.88	13	10.88	311.62	28.9	Primavera
18/09/2020	1	2020	out	17	30	Q3	30.7	20.6	0	24.7	13	11.7	323.32	28.9	Primavera
18/09/2020	1	2020	out	18	31	Q3	23.7	21	2.8	21.62	13	8.62	331.94	31.7	Primavera
18/09/2020	1	2020	out	19	32	Q3	28.4	21.6	24.2	23.6	13	10.6	342.54	55.9	Primavera
18/09/2020	1	2020	out	20	33	Q3	29.6	22.2	1.4	24.46	13	11.46	354	57.3	Primavera
18/09/2020	1	2020	out	21	34	Q3	30.6	18.4	0	23.88	13	10.88	364.88	57.3	Primavera
18/09/2020	1	2020	out	22	35	Q3	30.6	21.2	0	24.92	13	11.92	376.8	57.3	Primavera
18/09/2020	1	2020	out	23	36	Q3	30.4	21.6	0	24.64	13	11.64	388.44	57.3	Primavera
18/09/2020	1	2020	out	24	37	Q3	30	21.2	0	24.6	13	11.6	400.04	57.3	Primavera
18/09/2020	1	2020	out	25	38	Q3	32.3	21.2	0	25.62	13	12.62	412.66	57.3	Primavera
18/09/2020	1	2020	out	26	39	Q3	28.4	23	0.6	24.74	13	11.74	424.4	57.9	Primavera
18/09/2020	1	2020	out	27	40	Q3	29.6	22.6	6.2	24.24	13	11.24	435.64	64.1	Primavera
18/09/2020	1	2020	out	28	41	Q3	30.4	23	0.5	25.52	13	12.52	448.16	64.6	Primavera
18/09/2020	1	2020	out	29	42	Q3	28.8	22.8	1.4	24.4	13	11.4	459.56	66	Primavera
18/09/2020	1	2020	out	30	43	Q3	29.8	22.5	0	24.74	13	11.74	471.3	66	Primavera
18/09/2020	1	2020	out	31	44	Q3	31.7	22.4	0	25.6	13	12.6	483.9	66	Primavera
18/09/2020	1	2020	nov	1	45	Q4	31.7	21.9	0	25.52	13	12.52	496.42	66	Primavera
18/09/2020	1	2020	nov	2	46	Q4	24	21.2	5.2	21.92	13	8.92	505.34	71.2	Primavera
18/09/2020	1	2020	nov	3	47	Q4	25	20.6	4.6	22.46	13	9.46	514.8	75.8	Primavera
18/09/2020	1	2020	nov	4	48	Q4	27.3	20.6	0	23.54	13	10.54	525.34	75.8	Primavera
18/09/2020	1	2020	nov	5	49	Q4	29	21.6	18.9	24	13	11	536.34	94.7	Primavera
18/09/2020	1	2020	nov	6	50	Q4	31	21.6	2.8	25.48	13	12.48	548.82	97.5	Primavera
18/09/2020	1	2020	nov	7	51	Q4	31	22.2	0	25.38	13	12.38	561.2	97.5	Primavera
18/09/2020	1	2020	nov	8	52	Q4	30.2	22.8	0	24.88	13	11.88	573.08	97.5	Primavera
18/09/2020	1	2020	nov	9	53	Q4	29.2	20.6	0	23.78	13	10.78	583.86	97.5	Primavera
18/09/2020	1	2020	nov	10	54	Q4	30.4	19.2	0	24.26	13	11.26	595.12	97.5	Primavera
18/09/2020	1	2020	nov	11	55	Q4	29.1	21.7	0	24.78	13	11.78	606.9	97.5	Primavera
18/09/2020	1	2020	nov	12	56	Q4	31.2	21	0	24.48	13	11.48	618.38	97.5	Primavera
18/09/2020	1	2020	nov	13	57	Q4	32	19.8	0	24.88	13	11.88	630.26	97.5	Primavera
18/09/2020	1	2020	nov	14	58	Q4	32.6	22.5	0	25.78	13	12.78	643.04	97.5	Primavera
18/09/2020	1	2020	nov	15	59	Q4	34	21.8	0	26.38	13	13.38	656.42	97.5	Primavera
18/09/2020	1	2020	nov	16	60	Q5	32	23	0	25.98	13	12.98	669.4	97.5	Primavera
18/09/2020	1	2020	nov	17	61	Q5	33.5	21.4	0	25.94	13	12.94	682.34	97.5	Primavera
18/09/2020	1	2020	nov	18	62	Q5	32.7	24	0	26.14	13	13.14	695.48	97.5	Primavera
18/09/2020	1	2020	nov	19	63	Q5	31.9	23.5	0	26.56	13	13.56	709.04	97.5	Primavera
18/09/2020	1	2020	nov	20	64	Q5	29.3	22.1	16.6	24.28	13	11.28	720.32	114.1	Primavera
18/09/2020	1	2020	nov	21	65	Q5	30.9	23.7	0.8	25.26	13	12.26	732.58	114.9	Primavera
18/09/2020	1	2020	nov	22	66	Q5	30.7	23.4	0.2	24.84	13	11.84	744.42	115.1	Primavera
18/09/2020	1	2020	nov	23	67	Q5	30	20.4	0	24.32	13	11.32	755.74	115.1	Primavera
18/09/2020	1	2020	nov	24	68	Q5	29.9	20.3	0.8	24.28	13	11.28	767.02	115.9	Primavera
